,Quantidade em Estoque,Data da Venda
Filial 1,72,2023-07-09 18:58:06.794203
Filial 3,50,2023-06-25 18:58:06.794203
Filial 1,95,2022-11-21 18:58:06.794203
Filial 1,57,2023-03-29 18:58:06.794203
Filial 10,88,2023-07-01 18:58:06.794203
Filial 2,37,2023-04-14 18:58:06.794203
Filial 7,100,2023-03-16 18:58:06.794203
Filial 4,25,2022-11-24 18:58:06.794203
Filial 10,17,2022-09-24 18:58:06.794203
Filial 6,42,2023-05-25 18:58:06.794203
Filial 4,21,2023-02-18 18:58:06.794203
Filial 7,59,2023-08-16 18:58:06.794203
Filial 9,48,2023-08-22 18:58:06.794203
Filial 6,14,2022-11-02 18:58:06.794203
Filial 9,96,2022-09-25 18:58:06.794203
Filial 4,75,2022-11-21 18:58:06.794203
Filial 4,22,2023-02-28 18:58:06.794203
Filial 9,24,2023-01-02 18:58:06.794203
Filial 7,2,2023-05-10 18:58:06.794203
Filial 2,9,2023-08-19 18:58:06.794203
Filial 10,29,2022-11-25 18:58:06.794203
Filial 10,48,2023-01-30 18:58:06.794203
Filial 7,63,2023-08-25 18:58:06.794203
Filial 5,81,2023-06-17 18:58:06.794203
Filial 9,26,2023-05-03 18:58:06.794203
Filial 6,87,2023-08-29 18:58:06.794203
Filial 3,10,2022-11-12 18:58:06.794203
Filial 6,89,2023-06-21 18:58:06.794203
Filial 4,52,2023-08-29 18:58:06.794203
Filial 5,71,2023-07-30 18:58:06.794203
Filial 5,83,2022-10-29 18:58:06.794203
Filial 7,25,2023-02-14 18:58:06.794203
Filial 9,80,2023-03-20 18:58:06.794203
Filial 9,66,2023-06-21 18:58:06.794203
Filial 8,15,2022-09-08 18:58:06.794203
Filial 9,9,2022-09-17 18:58:06.794203
Filial 6,26,2023-05-28 18:58:06.794203
Filial 8,60,2022-11-10 18:58:06.794203
Filial 10,54,2023-06-22 18:58:06.794203
Filial 9,48,2023-03-05 18:58:06.794203
Filial 10,93,2022-11-07 18:58:06.794203
Filial 4,18,2023-06-23 18:58:06.794203
Filial 3,23,2023-08-13 18:58:06.794203
Filial 8,74,2023-02-22 18:58:06.794203
Filial 7,53,2023-06-19 18:58:06.794203
Filial 5,79,2022-12-11 18:58:06.794203
Filial 2,78,2023-04-04 18:58:06.794203
Filial 7,85,2023-08-09 18:58:06.794203
Filial 8,6,2023-01-04 18:58:06.794203
Filial 9,62,2023-04-04 18:58:06.794203
Filial 8,85,2023-02-03 18:58:06.794203
Filial 3,14,2023-05-28 18:58:06.794203
Filial 10,58,2022-10-10 18:58:06.794203
Filial 5,82,2022-10-08 18:58:06.794203
Filial 2,73,2023-05-24 18:58:06.794203
Filial 8,52,2022-09-10 18:58:06.794203
Filial 8,85,2023-06-20 18:58:06.794203
Filial 5,5,2023-01-26 18:58:06.794203
Filial 8,88,2023-01-16 18:58:06.794203
Filial 4,93,2023-02-22 18:58:06.794203
Filial 5,30,2023-07-08 18:58:06.794203
Filial 6,94,2022-12-12 18:58:06.794203
Filial 8,38,2023-02-28 18:58:06.794203
Filial 1,82,2023-04-16 18:58:06.794203
Filial 10,41,2022-12-14 18:58:06.794203
Filial 2,87,2022-12-24 18:58:06.794203
Filial 4,17,2023-07-23 18:58:06.794203
Filial 2,50,2022-10-18 18:58:06.794203
Filial 7,90,2023-04-28 18:58:06.794203
Filial 3,97,2022-10-03 18:58:06.794203
Filial 4,11,2023-06-19 18:58:06.794203
Filial 10,32,2023-07-16 18:58:06.794203
Filial 8,92,2023-01-18 18:58:06.794203
Filial 7,86,2023-05-19 18:58:06.794203
Filial 3,54,2023-01-23 18:58:06.794203
Filial 4,6,2023-07-01 18:58:06.794203
Filial 9,76,2022-12-20 18:58:06.794203
Filial 5,4,2023-05-26 18:58:06.794203
Filial 5,1,2023-04-29 18:58:06.794203
Filial 9,49,2023-08-16 18:58:06.794203
Filial 2,81,2023-04-06 18:58:06.794203
Filial 10,26,2023-05-29 18:58:06.794203
Filial 5,93,2023-05-16 18:58:06.794203
Filial 7,95,2023-03-20 18:58:06.794203
Filial 6,81,2023-07-21 18:58:06.794203
Filial 7,14,2023-05-02 18:58:06.794203
Filial 4,53,2023-08-26 18:58:06.794203
Filial 7,51,2023-05-02 18:58:06.794203
Filial 4,31,2023-05-04 18:58:06.794203
Filial 2,95,2023-02-24 18:58:06.794203
Filial 5,77,2023-03-24 18:58:06.794203
Filial 8,53,2023-08-09 18:58:06.794203
Filial 8,54,2023-06-28 18:58:06.794203
Filial 7,96,2022-09-06 18:58:06.794203
Filial 5,47,2023-04-30 18:58:06.794203
Filial 7,38,2023-07-04 18:58:06.794203
Filial 1,33,2023-03-06 18:58:06.794203
Filial 3,14,2022-09-08 18:58:06.794203
Filial 6,44,2023-08-14 18:58:06.794203
Filial 6,24,2022-12-20 18:58:06.794203
Filial 5,85,2023-01-03 18:58:06.794203
Filial 9,29,2023-07-26 18:58:06.794203
Filial 8,70,2023-02-28 18:58:06.794203
Filial 2,68,2023-08-09 18:58:06.794203
Filial 1,43,2023-06-09 18:58:06.794203
Filial 5,7,2023-02-15 18:58:06.794203
Filial 3,55,2022-09-14 18:58:06.794203
Filial 4,46,2023-02-05 18:58:06.794203
Filial 10,3,2023-05-13 18:58:06.794203
Filial 10,96,2023-02-15 18:58:06.794203
Filial 4,93,2023-08-27 18:58:06.794203
Filial 4,4,2023-07-23 18:58:06.794203
Filial 7,81,2023-02-20 18:58:06.794203
Filial 4,91,2023-07-11 18:58:06.794203
Filial 4,35,2023-08-13 18:58:06.794203
Filial 7,61,2022-11-29 18:58:06.794203
Filial 7,97,2022-09-13 18:58:06.794203
Filial 6,36,2022-09-29 18:58:06.794203
Filial 8,94,2022-09-13 18:58:06.794203
Filial 9,23,2022-12-26 18:58:06.794203
Filial 3,37,2023-08-17 18:58:06.794203
Filial 6,32,2023-08-11 18:58:06.794203
Filial 1,10,2022-09-11 18:58:06.794203
Filial 1,55,2023-09-02 18:58:06.794203
Filial 7,38,2023-07-04 18:58:06.794203
Filial 6,24,2023-05-20 18:58:06.794203
Filial 1,4,2023-04-14 18:58:06.794203
Filial 4,74,2023-03-15 18:58:06.794203
Filial 8,63,2023-07-25 18:58:06.794203
Filial 3,92,2023-06-04 18:58:06.794203
Filial 4,90,2023-01-12 18:58:06.794203
Filial 4,68,2023-05-10 18:58:06.794203
Filial 10,30,2023-08-22 18:58:06.794203
Filial 9,18,2023-08-11 18:58:06.794203
Filial 10,51,2023-01-04 18:58:06.794203
Filial 7,32,2023-03-18 18:58:06.794203
Filial 3,97,2023-08-11 18:58:06.794203
Filial 2,41,2023-03-24 18:58:06.794203
Filial 4,49,2022-10-14 18:58:06.794203
Filial 4,40,2023-05-21 18:58:06.794203
Filial 5,78,2022-10-20 18:58:06.794203
Filial 5,5,2023-04-12 18:58:06.794203
Filial 10,48,2022-12-29 18:58:06.794203
Filial 1,24,2023-03-18 18:58:06.794203
Filial 1,83,2023-05-29 18:58:06.794203
Filial 1,27,2023-07-21 18:58:06.794203
Filial 4,81,2022-12-28 18:58:06.794203
Filial 2,58,2023-01-15 18:58:06.794203
Filial 4,50,2023-04-30 18:58:06.794203
Filial 2,14,2022-09-23 18:58:06.794203
Filial 7,81,2022-10-22 18:58:06.794203
Filial 5,24,2023-05-24 18:58:06.794203
Filial 1,21,2023-07-12 18:58:06.794203
Filial 2,32,2023-05-16 18:58:06.794203
Filial 3,88,2022-10-14 18:58:06.794203
Filial 7,94,2022-11-20 18:58:06.794203
Filial 4,49,2023-07-16 18:58:06.794203
Filial 3,16,2023-01-24 18:58:06.794203
Filial 5,5,2022-12-18 18:58:06.794203
Filial 6,5,2022-11-21 18:58:06.794203
Indisponivel,7,Indisponivel
Indisponivel,78,Indisponivel
Indisponivel,34,Indisponivel
Indisponivel,90,Indisponivel
Indisponivel,91,Indisponivel
Indisponivel,77,Indisponivel
Indisponivel,2,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,56,Indisponivel
Indisponivel,8,Indisponivel
Indisponivel,10,Indisponivel
Indisponivel,95,Indisponivel
Indisponivel,85,Indisponivel
Indisponivel,90,Indisponivel
Indisponivel,82,Indisponivel
Indisponivel,42,Indisponivel
Indisponivel,13,Indisponivel
Indisponivel,20,Indisponivel
Indisponivel,8,Indisponivel
Indisponivel,8,Indisponivel
Indisponivel,65,Indisponivel
Indisponivel,66,Indisponivel
Indisponivel,60,Indisponivel
Indisponivel,57,Indisponivel
Indisponivel,17,Indisponivel
Indisponivel,36,Indisponivel
Indisponivel,99,Indisponivel
Indisponivel,34,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,100,Indisponivel
Indisponivel,56,Indisponivel
Indisponivel,77,Indisponivel
Indisponivel,18,Indisponivel
Indisponivel,98,Indisponivel
Indisponivel,53,Indisponivel
Indisponivel,35,Indisponivel
Indisponivel,78,Indisponivel
Indisponivel,63,Indisponivel
Indisponivel,83,Indisponivel
Indisponivel,40,Indisponivel
Indisponivel,23,Indisponivel
Indisponivel,84,Indisponivel
Indisponivel,74,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,51,Indisponivel
Indisponivel,57,Indisponivel
Indisponivel,87,Indisponivel
Indisponivel,20,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,63,Indisponivel
Indisponivel,48,Indisponivel
Indisponivel,98,Indisponivel
Indisponivel,1,Indisponivel
Indisponivel,25,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,45,Indisponivel
Indisponivel,83,Indisponivel
Indisponivel,42,Indisponivel
Indisponivel,35,Indisponivel
Indisponivel,73,Indisponivel
Indisponivel,24,Indisponivel
Indisponivel,65,Indisponivel
Indisponivel,6,Indisponivel
Indisponivel,80,Indisponivel
Indisponivel,95,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,28,Indisponivel
Indisponivel,60,Indisponivel
Indisponivel,61,Indisponivel
Indisponivel,13,Indisponivel
Indisponivel,11,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,28,Indisponivel
Indisponivel,22,Indisponivel
Indisponivel,78,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,72,Indisponivel
Indisponivel,47,Indisponivel
Indisponivel,58,Indisponivel
Indisponivel,96,Indisponivel
Indisponivel,74,Indisponivel
Indisponivel,23,Indisponivel
Indisponivel,80,Indisponivel
Indisponivel,7,Indisponivel
Indisponivel,70,Indisponivel
Indisponivel,97,Indisponivel
Indisponivel,75,Indisponivel
Indisponivel,15,Indisponivel
Indisponivel,30,Indisponivel
Indisponivel,53,Indisponivel
Indisponivel,80,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,24,Indisponivel
Indisponivel,1,Indisponivel
Indisponivel,16,Indisponivel
Indisponivel,65,Indisponivel
Indisponivel,54,Indisponivel
Indisponivel,20,Indisponivel
Indisponivel,21,Indisponivel
Indisponivel,1,Indisponivel
Indisponivel,11,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,63,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,62,Indisponivel
Indisponivel,1,Indisponivel
Indisponivel,60,Indisponivel
Indisponivel,39,Indisponivel
Indisponivel,63,Indisponivel
Indisponivel,78,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,80,Indisponivel
Indisponivel,65,Indisponivel
Indisponivel,57,Indisponivel
Indisponivel,77,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,30,Indisponivel
Indisponivel,42,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,39,Indisponivel
Indisponivel,69,Indisponivel
Indisponivel,86,Indisponivel
Indisponivel,14,Indisponivel
Indisponivel,81,Indisponivel
Indisponivel,11,Indisponivel
Indisponivel,99,Indisponivel
Indisponivel,85,Indisponivel
Indisponivel,40,Indisponivel
Indisponivel,46,Indisponivel
Indisponivel,63,Indisponivel
Indisponivel,28,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,26,Indisponivel
Indisponivel,96,Indisponivel
Indisponivel,100,Indisponivel
Indisponivel,49,Indisponivel
Indisponivel,59,Indisponivel
Indisponivel,100,Indisponivel
Indisponivel,18,Indisponivel
Indisponivel,26,Indisponivel
Indisponivel,61,Indisponivel
Indisponivel,84,Indisponivel
Indisponivel,91,Indisponivel
Indisponivel,84,Indisponivel
Indisponivel,28,Indisponivel
Indisponivel,72,Indisponivel
Indisponivel,87,Indisponivel
Indisponivel,35,Indisponivel
Indisponivel,87,Indisponivel
Indisponivel,93,Indisponivel
Indisponivel,56,Indisponivel
Indisponivel,49,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,97,Indisponivel
Indisponivel,10,Indisponivel
Indisponivel,55,Indisponivel
Indisponivel,81,Indisponivel
Indisponivel,3,Indisponivel
Indisponivel,7,Indisponivel
Indisponivel,41,Indisponivel
Indisponivel,10,Indisponivel
Indisponivel,1,Indisponivel
Indisponivel,54,Indisponivel
Indisponivel,63,Indisponivel
Indisponivel,53,Indisponivel
Indisponivel,60,Indisponivel
Indisponivel,43,Indisponivel
Indisponivel,98,Indisponivel
Indisponivel,21,Indisponivel
Indisponivel,53,Indisponivel
Indisponivel,50,Indisponivel
Indisponivel,56,Indisponivel
Indisponivel,6,Indisponivel
Indisponivel,67,Indisponivel
Indisponivel,52,Indisponivel
Indisponivel,70,Indisponivel
Indisponivel,53,Indisponivel
Indisponivel,10,Indisponivel
Indisponivel,83,Indisponivel
Indisponivel,33,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,69,Indisponivel
Indisponivel,91,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,57,Indisponivel
Indisponivel,34,Indisponivel
Indisponivel,30,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,41,Indisponivel
Indisponivel,4,Indisponivel
Indisponivel,58,Indisponivel
Indisponivel,54,Indisponivel
Indisponivel,53,Indisponivel
Indisponivel,91,Indisponivel
Indisponivel,67,Indisponivel
Indisponivel,45,Indisponivel
Indisponivel,45,Indisponivel
Indisponivel,18,Indisponivel
Indisponivel,23,Indisponivel
Indisponivel,47,Indisponivel
Indisponivel,73,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,52,Indisponivel
Indisponivel,61,Indisponivel
Indisponivel,92,Indisponivel
Indisponivel,86,Indisponivel
Indisponivel,23,Indisponivel
Indisponivel,85,Indisponivel
Indisponivel,50,Indisponivel
Indisponivel,63,Indisponivel
Indisponivel,61,Indisponivel
Indisponivel,70,Indisponivel
Indisponivel,55,Indisponivel
Indisponivel,45,Indisponivel
Indisponivel,88,Indisponivel
Indisponivel,36,Indisponivel
Indisponivel,15,Indisponivel
Indisponivel,47,Indisponivel
Indisponivel,87,Indisponivel
Indisponivel,4,Indisponivel
Indisponivel,40,Indisponivel
Indisponivel,9,Indisponivel
Indisponivel,44,Indisponivel
Indisponivel,31,Indisponivel
Indisponivel,96,Indisponivel
Indisponivel,45,Indisponivel
Indisponivel,81,Indisponivel
Indisponivel,6,Indisponivel
Indisponivel,8,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,21,Indisponivel
Indisponivel,13,Indisponivel
Indisponivel,80,Indisponivel
Indisponivel,71,Indisponivel
Indisponivel,8,Indisponivel
Indisponivel,2,Indisponivel
Indisponivel,48,Indisponivel
Indisponivel,54,Indisponivel
Indisponivel,28,Indisponivel
Indisponivel,14,Indisponivel
Indisponivel,81,Indisponivel
Indisponivel,69,Indisponivel
Indisponivel,84,Indisponivel
Indisponivel,53,Indisponivel
Indisponivel,49,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,8,Indisponivel
Indisponivel,77,Indisponivel
Indisponivel,6,Indisponivel
Indisponivel,52,Indisponivel
Indisponivel,52,Indisponivel
Indisponivel,30,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,32,Indisponivel
Indisponivel,80,Indisponivel
Indisponivel,16,Indisponivel
Indisponivel,99,Indisponivel
Indisponivel,13,Indisponivel
Indisponivel,74,Indisponivel
Indisponivel,15,Indisponivel
Indisponivel,72,Indisponivel
Indisponivel,95,Indisponivel
Indisponivel,88,Indisponivel
Indisponivel,23,Indisponivel
Indisponivel,25,Indisponivel
Indisponivel,26,Indisponivel
Indisponivel,99,Indisponivel
Indisponivel,75,Indisponivel
Indisponivel,25,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,82,Indisponivel
Indisponivel,32,Indisponivel
Indisponivel,43,Indisponivel
Indisponivel,82,Indisponivel
Indisponivel,23,Indisponivel
Indisponivel,79,Indisponivel
Indisponivel,81,Indisponivel
Indisponivel,67,Indisponivel
Indisponivel,20,Indisponivel
Indisponivel,30,Indisponivel
Indisponivel,83,Indisponivel
Indisponivel,85,Indisponivel
Indisponivel,79,Indisponivel
Indisponivel,75,Indisponivel
Indisponivel,97,Indisponivel
Indisponivel,33,Indisponivel
Indisponivel,97,Indisponivel
Indisponivel,89,Indisponivel
Indisponivel,28,Indisponivel
Indisponivel,42,Indisponivel
Indisponivel,57,Indisponivel
Indisponivel,49,Indisponivel
Indisponivel,7,Indisponivel
Indisponivel,31,Indisponivel
Indisponivel,41,Indisponivel
Indisponivel,6,Indisponivel
Indisponivel,67,Indisponivel
Indisponivel,14,Indisponivel
Indisponivel,67,Indisponivel
Indisponivel,84,Indisponivel
Indisponivel,74,Indisponivel
Indisponivel,71,Indisponivel
Indisponivel,27,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,46,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,21,Indisponivel
Indisponivel,80,Indisponivel
Indisponivel,43,Indisponivel
Indisponivel,6,Indisponivel
Indisponivel,80,Indisponivel
Indisponivel,47,Indisponivel
Indisponivel,16,Indisponivel
Indisponivel,97,Indisponivel
Indisponivel,10,Indisponivel
Indisponivel,18,Indisponivel
Indisponivel,39,Indisponivel
Indisponivel,69,Indisponivel
Indisponivel,48,Indisponivel
Indisponivel,58,Indisponivel
Indisponivel,81,Indisponivel
Indisponivel,59,Indisponivel
Indisponivel,50,Indisponivel
Indisponivel,93,Indisponivel
Indisponivel,93,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,72,Indisponivel
Indisponivel,17,Indisponivel
Indisponivel,30,Indisponivel
Indisponivel,76,Indisponivel
Indisponivel,100,Indisponivel
Indisponivel,77,Indisponivel
Indisponivel,46,Indisponivel
Indisponivel,24,Indisponivel
Indisponivel,61,Indisponivel
Indisponivel,69,Indisponivel
Indisponivel,4,Indisponivel
Indisponivel,62,Indisponivel
Indisponivel,22,Indisponivel
Indisponivel,52,Indisponivel
Indisponivel,3,Indisponivel
Indisponivel,16,Indisponivel
Indisponivel,7,Indisponivel
Indisponivel,78,Indisponivel
Indisponivel,98,Indisponivel
Indisponivel,44,Indisponivel
Indisponivel,67,Indisponivel
Indisponivel,33,Indisponivel
Indisponivel,71,Indisponivel
Indisponivel,82,Indisponivel
Indisponivel,34,Indisponivel
Indisponivel,43,Indisponivel
Indisponivel,10,Indisponivel
Indisponivel,15,Indisponivel
Indisponivel,87,Indisponivel
Indisponivel,66,Indisponivel
Indisponivel,22,Indisponivel
Indisponivel,99,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,71,Indisponivel
Indisponivel,82,Indisponivel
Indisponivel,42,Indisponivel
Indisponivel,84,Indisponivel
Indisponivel,21,Indisponivel
Indisponivel,9,Indisponivel
Indisponivel,100,Indisponivel
Indisponivel,78,Indisponivel
Indisponivel,21,Indisponivel
Indisponivel,20,Indisponivel
Indisponivel,24,Indisponivel
Indisponivel,90,Indisponivel
Indisponivel,11,Indisponivel
Indisponivel,27,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,48,Indisponivel
Indisponivel,27,Indisponivel
Indisponivel,66,Indisponivel
Indisponivel,27,Indisponivel
Indisponivel,9,Indisponivel
Indisponivel,13,Indisponivel
Indisponivel,74,Indisponivel
Indisponivel,4,Indisponivel
Indisponivel,67,Indisponivel
Indisponivel,47,Indisponivel
Indisponivel,39,Indisponivel
Indisponivel,26,Indisponivel
Indisponivel,21,Indisponivel
Indisponivel,54,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,62,Indisponivel
Indisponivel,44,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,51,Indisponivel
Indisponivel,27,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,17,Indisponivel
Indisponivel,47,Indisponivel
Indisponivel,10,Indisponivel
Indisponivel,24,Indisponivel
Indisponivel,35,Indisponivel
Indisponivel,11,Indisponivel
Indisponivel,16,Indisponivel
Indisponivel,17,Indisponivel
Indisponivel,31,Indisponivel
Indisponivel,14,Indisponivel
Indisponivel,71,Indisponivel
Indisponivel,39,Indisponivel
Indisponivel,79,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,74,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,21,Indisponivel
Indisponivel,21,Indisponivel
Indisponivel,15,Indisponivel
Indisponivel,86,Indisponivel
Indisponivel,40,Indisponivel
Indisponivel,54,Indisponivel
Indisponivel,18,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,65,Indisponivel
Indisponivel,54,Indisponivel
Indisponivel,6,Indisponivel
Indisponivel,32,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,77,Indisponivel
Indisponivel,48,Indisponivel
Indisponivel,26,Indisponivel
Indisponivel,61,Indisponivel
Indisponivel,27,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,10,Indisponivel
Indisponivel,18,Indisponivel
Indisponivel,28,Indisponivel
Indisponivel,89,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,36,Indisponivel
Indisponivel,73,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,46,Indisponivel
Indisponivel,17,Indisponivel
Indisponivel,72,Indisponivel
Indisponivel,70,Indisponivel
Indisponivel,70,Indisponivel
Indisponivel,46,Indisponivel
Indisponivel,84,Indisponivel
Indisponivel,54,Indisponivel
Indisponivel,1,Indisponivel
Indisponivel,58,Indisponivel
Indisponivel,4,Indisponivel
Indisponivel,81,Indisponivel
Indisponivel,5,Indisponivel
Indisponivel,51,Indisponivel
Indisponivel,42,Indisponivel
Indisponivel,84,Indisponivel
Indisponivel,96,Indisponivel
Indisponivel,63,Indisponivel
Indisponivel,86,Indisponivel
Indisponivel,90,Indisponivel
Indisponivel,31,Indisponivel
Indisponivel,26,Indisponivel
Indisponivel,63,Indisponivel
Indisponivel,5,Indisponivel
Indisponivel,64,Indisponivel
Indisponivel,80,Indisponivel
Indisponivel,99,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,58,Indisponivel
Indisponivel,30,Indisponivel
Indisponivel,18,Indisponivel
Indisponivel,24,Indisponivel
Indisponivel,59,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,21,Indisponivel
Indisponivel,94,Indisponivel
Indisponivel,34,Indisponivel
Indisponivel,16,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,40,Indisponivel
Indisponivel,54,Indisponivel
Indisponivel,11,Indisponivel
Indisponivel,46,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,77,Indisponivel
Indisponivel,26,Indisponivel
Indisponivel,30,Indisponivel
Indisponivel,41,Indisponivel
Indisponivel,77,Indisponivel
Indisponivel,28,Indisponivel
Indisponivel,59,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,20,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,20,Indisponivel
Indisponivel,13,Indisponivel
Indisponivel,57,Indisponivel
Indisponivel,82,Indisponivel
Indisponivel,66,Indisponivel
Indisponivel,47,Indisponivel
Indisponivel,23,Indisponivel
Indisponivel,50,Indisponivel
Indisponivel,88,Indisponivel
Indisponivel,98,Indisponivel
Indisponivel,57,Indisponivel
Indisponivel,73,Indisponivel
Indisponivel,96,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,4,Indisponivel
Indisponivel,59,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,12,Indisponivel
Indisponivel,46,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,93,Indisponivel
Indisponivel,33,Indisponivel
Indisponivel,40,Indisponivel
Indisponivel,63,Indisponivel
Indisponivel,90,Indisponivel
Indisponivel,46,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,15,Indisponivel
Indisponivel,35,Indisponivel
Indisponivel,59,Indisponivel
Indisponivel,2,Indisponivel
Indisponivel,74,Indisponivel
Indisponivel,35,Indisponivel
Indisponivel,3,Indisponivel
Indisponivel,53,Indisponivel
Indisponivel,59,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,71,Indisponivel
Indisponivel,1,Indisponivel
Indisponivel,81,Indisponivel
Indisponivel,42,Indisponivel
Indisponivel,99,Indisponivel
Indisponivel,2,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,59,Indisponivel
Indisponivel,64,Indisponivel
Indisponivel,34,Indisponivel
Indisponivel,43,Indisponivel
Indisponivel,3,Indisponivel
Indisponivel,14,Indisponivel
Indisponivel,83,Indisponivel
Indisponivel,73,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,98,Indisponivel
Indisponivel,46,Indisponivel
Indisponivel,84,Indisponivel
Indisponivel,86,Indisponivel
Indisponivel,43,Indisponivel
Indisponivel,3,Indisponivel
Indisponivel,31,Indisponivel
Indisponivel,43,Indisponivel
Indisponivel,62,Indisponivel
Indisponivel,90,Indisponivel
Indisponivel,69,Indisponivel
Indisponivel,38,Indisponivel
Indisponivel,29,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,9,Indisponivel
Indisponivel,20,Indisponivel
Indisponivel,78,Indisponivel
Indisponivel,75,Indisponivel
Indisponivel,86,Indisponivel
Indisponivel,69,Indisponivel
Indisponivel,60,Indisponivel
Indisponivel,88,Indisponivel
Indisponivel,40,Indisponivel
Indisponivel,46,Indisponivel
Indisponivel,76,Indisponivel
Indisponivel,39,Indisponivel
Indisponivel,17,Indisponivel
Indisponivel,35,Indisponivel
Indisponivel,5,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,59,Indisponivel
Indisponivel,13,Indisponivel
Indisponivel,73,Indisponivel
Indisponivel,6,Indisponivel
Indisponivel,6,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,14,Indisponivel
Indisponivel,96,Indisponivel
Indisponivel,27,Indisponivel
Indisponivel,22,Indisponivel
Indisponivel,37,Indisponivel
Indisponivel,14,Indisponivel
Indisponivel,22,Indisponivel
Indisponivel,56,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,32,Indisponivel
Indisponivel,53,Indisponivel
Indisponivel,60,Indisponivel
Indisponivel,24,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,31,Indisponivel
Indisponivel,43,Indisponivel
Indisponivel,81,Indisponivel
Indisponivel,50,Indisponivel
Indisponivel,56,Indisponivel
Indisponivel,24,Indisponivel
Indisponivel,45,Indisponivel
Indisponivel,97,Indisponivel
Indisponivel,91,Indisponivel
Indisponivel,94,Indisponivel
Indisponivel,28,Indisponivel
Indisponivel,9,Indisponivel
Indisponivel,30,Indisponivel
Indisponivel,23,Indisponivel
Indisponivel,4,Indisponivel
Indisponivel,89,Indisponivel
Indisponivel,97,Indisponivel
Indisponivel,67,Indisponivel
Indisponivel,19,Indisponivel
Indisponivel,56,Indisponivel
Indisponivel,8,Indisponivel
Indisponivel,36,Indisponivel
Indisponivel,5,Indisponivel
Indisponivel,10,Indisponivel
Indisponivel,50,Indisponivel
Indisponivel,68,Indisponivel
Indisponivel,83,Indisponivel
Indisponivel,8,Indisponivel
